Серия,Блеск при 60 град,Условная вязкость,ΔE,ΔL,Δa,Цветовое различие между партиями ΔЕ d/8,Δb,Время сушки,"Пиковая температура металла, °С",Толщина  для грунта,Адгезия,Стойкость к растворителям,Визуальный контроль поверхности,Внешний вид,Количество выкрасок с партии,Unnamed: 16,Степень перетира,Твердого вещества по объему,Грунт,Толщина пленки жидк.,Толщина для эмали/лака/чернил,Теоретический расход,Прочность при изгибе,Стойкость к обратному удару,Твердость по карандашу,Прочность растяжения по Эриксену,Блеск,Плотность,Массовая доля нелетучих веществ
,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение
п.39936 от 25.02.25 до 25.08.25,"38,50000","85,00000","0,43200","0,04000","-0,42300",,"0,08000","32,00000","232,00000","4,66000",,"120,00000",Без дефектов,,,"1,61604","28,00000","46,01500",РРМ 310,"39,48712","18,17000","46,31461","1,5","10,00000",H,"7,00000",,"1,18000","63,40000"
п.39937 от 24.02.25 до 24.08.25,"27,50000","107,00000","0,14200","0,04900","0,02800",,"-0,13000","38,00000","249,00000","24,00000",,"110,00000",Без дефектов,,,"1,49589",,"48,71023",PPU 331,"52,11294","25,00000","60,56223","1,5","10,00000",H,,,"1,18000","61,75000"
п.39938 от 19.02.25 до 19.08.25,"3,90000","101,00000","0,05900","0,04500","0,01400",,"-0,03600","29,00000","232,00000","6,00000",,"110,00000",Без дефектов,,,"1,28820",,"51,44545",Полиэфирный 1311Т34 ALBA,"36,93232","19,00000","40,25623","1,5","10,00000",F,"7,00000",,"1,09000","60,80000"
п.39939 от 20.02.25 до 20.08.25,"3,90000","109,00000","0,48800","0,06800","0,47900",,"0,06200","29,00000","232,00000","6,00000",,"110,00000",Без дефектов,,,"1,34481",,"49,48239",Полиэфирный 1311Т34 ALBA,"38,44650","19,00000","42,62123","1,5","10,00000",F,"7,00000",,"1,11000","59,95000"
п.39940 от 19.02.25 до 19.08.25,"17,70000","68,00000",,,,,,"26,00000","224,00000","5,00000",,"15,00000",Без дефектов,Белый цвет жидкого продукта,,"1,51029","7,00000","41,25114",,"12,21679",,"13,81780",,,,,,"1,14000","54,65000"
п.39941 от 20.02.25 до 20.08.25,"301,00000","58,00000",,,,,,"12,00000",,,,"15,00000",Без дефектов,,,,,,,,"4,00000",,,,,,,"1,01000","43,50000"
п.39942 от 21.02.25 до 21.08.25,"99,50000","74,00000",,,,,,"12,00000",,"8,00000",,"40,00000",Не соответствует,,,,,,D'LAC WEF 3020,,"3,00000",,,,,,,"1,01000","39,70000"
п.39943 от 18.02.25 до 18.08.25,"35,30000","110,00000","0,37800","-0,35400","0,02200",,"0,12900","28,00000","232,00000","6,00000","1,00000","110,00000",Без дефектов,,,"2,20409","19,00000","49,71250",РРМ 310,"36,20820","19,00000","54,34741","1,5","10,00000",F,"7,00000",,"1,49000","73,00000"
п.39944 от 24.02.25 до 24.08.25,"39,50000","90,00000","0,39300","0,15100","0,15900",,"-0,32700","30,00000","232,00000","6,00000","1,00000","110,00000",Без дефектов,,,"2,10554","25,00000","45,31250",РРМ 310,"39,34426","18,00000","55,12678","1,5","10,00000",F,"7,00000",,"1,40000","68,75000"
п.39945 от 20.02.25 до 20.08.25,"38,50000","103,00000","0,45100","-0,41900","-0,10500",,"-0,12800","28,00000","232,00000","6,00000","1,00000","110,00000",Без дефектов,,,"1,63537","27,00000","44,39250",РРМ 310,"40,54739","18,00000","47,24990","1,5","10,00000",F,"7,00000",,"1,18000","62,30000"
п.39946 от 20.02.25 до 20.08.25,"37,10000","122,50000","0,40400","0,39300","-0,05600",,"-0,07300","33,00000","249,00000","26,00000",,"110,00000",Без дефектов,,,"1,29645",,"48,02500",PPU 331,"51,98980","25,00000","56,22072","1,5","10,00000",H,,,"1,08000","57,65000"
п.39947 от 21.02.25 до 21.08.25,"36,20000","88,00000","0,49700","0,43300","0,08300",,"0,22900","29,00000","232,00000","5,00000","1,00000","110,00000",Без дефектов,,,"2,17886","21,00000","49,95750",РРМ 310,"39,96004","20,00000","59,73565","1,5","10,00000",F,"7,00000",,"1,48000","72,95000"
п.39949 от 19.02.25 до 19.08.25,,"68,00000",,,,,,"28,00000","232,00000","5,80000",,"50,00000",Без дефектов,,,"1,69696",,"40,39375",РРМ 310,"14,85378","6,00000","17,97308",3,"5,00000",H,,,"1,21000","56,65000"
п.39950 от 18.02.25 до 18.02.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,28000","66,05000"
п.39952 от 24.02.25 до 24.08.25,"39,08000","110,00000","0,33000","0,29400","-0,07900",,"0,12800","33,00000","232,00000","6,04000",,"120,00000",Без дефектов,,"2,00000","1,83986","27,00000","52,45250",РРМ 310,"34,69806","18,20000","46,89846","1,5","10,00000",H,"7,00000",,"1,33000","71,40000"
п.39953 от 21.02.25 до 21.08.25,"88,90000","133,00000",,,,,,"12,00000",,,,"10,00000",Без дефектов,,,,"7,00000",,,,"7,00000",,"1,5",,,,,"1,39000","63,35000"
п.39954 от 24.02.25 до 24.02.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00000",
п.39955 от 21.02.25 до 21.08.25,"38,40000","90,00000","0,22800","0,04300","-0,03500",,"0,22100","28,00000","232,00000","6,00000",,"100,00000",Без дефектов,,,"2,00543",,"50,65000",Полиэфирный 1311Т34 ALBA,"35,53801","18,00000","50,27535","1,5","10,00000",F,"6,00000",,"1,40000","71,80000"
п.39956 от 25.02.25 до 25.08.25,"37,70000","107,00000","0,42900","0,19300","0,26100",,"-0,27900","38,00000","249,00000","25,00000","1,00000","100,00000",Без дефектов,,,"1,64382",,"53,67727",PPU 331,"46,70219","25,00000","60,08129",1,"30,00000",H,"7,00000",,"1,29000","68,40000"
п.39958 от 21.02.25 до 21.08.25,,"119,00000",,,,,,"33,00000","249,00000","24,00000","1,00000","50,00000",Без дефектов,Белый цвет жидкого продукта,,,,,,,,,,,,,,"1,18000","55,20000"
п.39959 от 21.02.25 до 21.02.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,96400",
п.39960 от 24.02.25 до 24.02.27,,,"2,07700","1,75100","-0,73500","0,77900","-0,73500",,,,,,,,,,"25,00000",,,,,,,,,,,"1,15000",
п.39961 от 24.02.25 до 24.08.25,"97,50000","71,00000",,,,,,"12,00000",,"7,00000",,"40,00000",Без дефектов,,,,,,D'LAC WEF 3020,,"3,00000",,,,,,,"1,03000","43,10000"
п.39962 от 25.02.25 до 25.08.25,"43,50000","115,00000","0,51700","0,01100","0,50900",,"-0,09000","35,00000","249,00000","25,00000",,"110,00000",Без дефектов,,,"1,54677",,"50,99205",PPU 331,"49,02725","25,00000","59,81325","1,5","10,00000",H,"6,00000",,"1,22000","64,65000"
п.39963 от 21.02.25 до 21.08.25,,"65,00000",,,,,,"12,00000",,,,"50,00000",Без дефектов,,"3,00000",,,,,,"3,00000",,,,,,,"0,96000","33,70000"
п.39964 от 21.02.25 до 21.08.25,"97,00000","75,00000",,,,,,"12,00000",,"8,00000",,"40,00000",Не соответствует,,,,,,D'LAC WEF 3020,,"3,00000",,,,,,,"1,00000","42,10000"
п.39965 от 18.02.25 до 18.08.25,,,,,,,,,,,,,,,,,"10,00000",,,,,,,,,,,,
п.39966 от 18.02.25 до 18.08.25,,,,,,,,,,,,,,,,,"12,00000",,,,,,,,,,,,
п.39967 от 18.02.25 до 18.08.25,,,,,,,,,,,,,,,,,"10,00000",,,,,,,,,,,,
п.39968 от 20.02.25 до 20.08.25,,,,,,,,,,,,,,,,,"9,00000",,,,,,,,,,,,
п.39969 от 24.02.25 до 24.08.25,"35,50000","84,00000","0,11800","0,03400","-0,08200",,"-0,07800","30,00000","235,00000","6,00000",,"120,00000",Без дефектов,,,"1,64862","28,00000","45,11125",РРМ 310,"39,90135","18,00000","47,02887","1,5","10,00000",H,"7,00000",,"1,19000","63,10000"
п.39970 от 21.02.25 до 21.08.25,"36,10000","95,00000","0,54500","-0,40500","0,11800",,"-0,34500","28,00000","232,00000","6,00000",,"110,00000",Без дефектов,,,"1,74622","21,00000","44,41938",РРМ 310,"40,52285","18,00000","49,22769","1,5","10,00000",H,"7,00000",,"1,23000","63,85000"
п.39971 от 20.02.25 до 20.08.25,"33,80000","101,00000","0,45900","0,34200","0,20600",,"0,22700","28,00000","232,00000","6,00000","1,00000","110,00000",Без дефектов,,,"2,07471","21,00000","43,57313",РРМ 310,"43,60485","19,00000","58,79123","1,5","10,00000",F,"7,00000",,"1,37000","67,05000"
п.39972 от 25.02.25 до 25.08.25,"3,70000","92,00000","0,21800","0,08100","-0,05700",,"0,19400","33,00000","232,00000","5,00000",,"120,00000",Без дефектов,,,"1,28658",,"49,19091",РРМ 310,"40,65792","20,00000","43,91055",1,"10,00000",H,"7,00000",,"1,08000","58,60000"
п.39973 от 24.02.25 до 24.08.25,"35,54000","89,00000","0,29400","0,21100","-0,06400",,"0,19500","22,00000","232,00000","6,00000",,"110,00000",Без дефектов,,,"1,54888","20,00000","47,84091",PPE 100,"37,67840","18,00000","45,14964","1,5","10,00000",H,"6,00000",,"1,20000","61,75000"
п.39974 от 26.02.25 до 26.08.25,"37,70000","89,00000","0,07100","-0,05400","-0,01600",,"-0,04400","22,00000","232,00000","6,00000",,"110,00000",Без дефектов,,,"1,44111","22,00000",,PPE 100,,"14,20000","33,93647","1,5","10,00000",F,,,"1,15000","60,30000"
п.39977 от 21.02.25 до 21.08.25,,"68,00000",,,,,,"26,00000","224,00000","6,00000",,"15,00000",Без дефектов,,,"1,56715","13,00000","40,74773",,"14,72475",,"17,08071",,,,,,"1,16000","55,05000"
п.39981 от 24.02.25 до 24.08.25,"41,30000","92,00000",,,,,,"36,00000","249,00000","12,00000",,"110,00000",Без дефектов,,,"1,20170",,"46,62727",PPR 390,"21,47363","12,00000","22,09008",1,"10,00000",H,,,"1,03000","54,40000"
п.39982 от 25.02.25 до 25.08.25,"109,00000","67,00000",,,,,,"47,00000","232,00000",,,"50,00000",Без дефектов,,,"1,20769",,"48,82727",,"27,05455","13,21000","28,13673","1,5",,F,,,"1,04000","56,70000"
п.39983 от 19.02.25 до 19.08.25,,,,,,,,,,,,,,,,,"10,00000",,,,,,,,,,,,
п.39985 от 24.02.25 до 24.08.25,"4,20000","91,00000","0,18000","-0,02800","-0,12300",,"-0,12900","33,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,33244",,"48,62500",РРМ 310,"41,13111","20,00000","45,24422",1,"10,00000",H,"7,00000",,"1,10000","58,90000"
п.39986 от 24.02.25 до 24.08.25,"42,30000","101,00000","0,11000","0,10500","-0,01900",,"0,02600","33,00000","232,00000","5,00000",,"120,00000",Без дефектов,,,"1,96820","28,66667","51,69750",РРМ 310,"34,87654","18,00000","49,06876","1,5","10,00000",H,"7,00000",,"1,39000","72,20000"
п.39987 от 20.02.25 до 20.08.25,,,,,,,,,,,,,,,,,"7,00000",,,,,,,,,,,,
п.39988 от 20.02.25 до 20.08.25,,,,,,,,,,,,,,Соответствует,,,,,,,,,,,,,,,
п.39989 от 24.02.25 до 24.08.25,"40,30000","122,00000","0,25000","0,13500","-0,14700",,"-0,15000","35,00000","249,00000","25,00000",,"110,00000",Без дефектов,,,"1,50356",,"51,31818",PPU 331,"48,71568","25,00000","58,45881","1,5","10,00000",H,,,"1,20000","64,30000"
п.39990 от 21.02.25 до 21.08.25,"39,60000","106,00000","0,34100","0,30700","-0,14800",,"0,02100","32,00000","249,00000","25,00000",,"110,00000",Без дефектов,,"2,00000","1,42658",,"51,22727",PPU 331,"48,80213","25,00000","56,61047","1,5","10,00000",H,,,"1,16000","63,00000"
п.39991 от 25.02.25 до 25.08.25,"33,90000","95,00000","0,03700","-0,00200","-0,01100",,"-0,03500","31,00000","232,00000","6,00000","1,00000","110,00000",Без дефектов,,,"1,66364","29,00000","43,92125",РРМ 310,"40,98244","18,00000","48,06676","1,5","10,00000",F,"7,00000",,"1,19000","62,30000"
п.39993 от 25.02.25 до 25.08.25,"41,00000","98,00000","0,32100","0,23500","0,18500","0,19000","0,11700","30,00000","224,00000","6,00000",,"120,00000",Без дефектов,,,"1,61960","33,00000","47,56563",РРМ 310,"33,58522","16,00000","40,02111",1,"16,00000",F,"7,00000",,"1,19000","64,75000"
п.39994 от 24.02.25 до 24.08.25,,,,,,,,,,,,,,"Прозрачная, без посторонних включений",,,,,,,,,,,,,,"0,86000",
п.39995 от 25.02.25 до 25.02.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,97900",
п.39996 от 26.02.25 до 26.08.25,"37,00000","84,00000","0,27200","-0,05000","0,18200",,"0,19700","28,00000","232,00000","6,00000",,"110,00000",Без дефектов,,,"1,41388",,,PPE 100,,"19,00000","44,47639","1,5","10,00000",H,"6,00000",,"1,14000","60,40000"
п.39997 от 26.02.25 до 26.08.25,"87,50000","121,00000",,,,,,"12,00000",,,,"10,00000",Без дефектов,,,,,,,,"7,00000",,,,,,,"0,98000","37,00000"
п.39998 от 27.02.25 до 27.08.25,"41,00000","74,50000","0,45200","0,37300","0,12300",,"-0,22300","33,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,49682","25,00000","42,62688",РРМ 310,"42,22688","18,00000","45,93813","1,5","10,00000",H,"7,00000",,"1,11000","58,65000"
п.39999 от 26.02.25 до 26.08.25,"37,92000","87,00000","0,20500","0,15800","-0,07900","0,28600","0,10300","30,00000","224,00000","6,00000",,"120,00000",Без дефектов,,,"1,87509","21,00000","44,69125",РРМ 310,"35,80119","16,00000","45,66434",1,"16,00000",F,"7,00000",,"1,29000","65,70000"
п.40000 от 24.02.25 до 24.08.25,"16,90000","70,00000",,,,,,"26,00000","224,00000","5,00000",,"15,00000",Без дефектов,Белый цвет жидкого продукта,,"1,54601","10,00000","40,53977",,"12,33357",,"14,18360",,,,,,"1,15000","54,50000"
п.40001 от 20.02.25 до 20.08.25,,,,,,,,,,,,,,,,,"13,00000",,,,,,,,,,,,
п.40005 от 24.02.25 до 24.08.25,"35,50000","67,00000",,,,,,"32,00000","232,00000","6,00000",,"50,00000",Без дефектов,,,"1,64800","23,00000","40,36477",РРМ 310,"14,86445","6,00000","17,68869",3,"3,00000",H,,,"1,19000","55,90000"
п.40008 от 24.02.25 до 24.08.25,"3,90000","95,00000","0,19000","0,06800","-0,11300",,"-0,13700","30,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,32557",,"49,37500",РРМ 310,"38,48101","19,00000","42,32911",1,"10,00000",H,"7,00000",,"1,10000","59,50000"
п.40009 от 26.02.25 до 26.08.25,"39,40000","88,00000","0,21200","0,03200","0,03000",,"0,20800","30,00000","232,00000","6,00000",,"110,00000",Без дефектов,,,"1,56926","18,00000",,PPE 100,,"18,00000","44,51796","1,5","10,00000",H,"6,00000",,"1,22000","63,45000"
п.40010 от 26.02.25 до 26.02.26,,,"0,71400","-0,23400","0,53300",,"-0,41300",,,,,,,,,,"7,00000",,,,,,,,,,,"1,19000",
п.40011 от 25.02.25 до 25.02.26,,,"2,26200","1,01600","0,23100",,"2,00800",,,,,,,,,,"10,00000",,,,,,,,,,,"1,18000",
п.40012 от 25.02.25 до 25.02.26,,,"1,21600","0,19800","0,76500",,"-0,92400",,,,,,,,,,"2,00000",,,,,,,,,,,"2,10000","80,70000"
п.40013 от 27.02.25 до 27.02.26,,,"0,62300","-0,20700","0,14100",,"-0,57100",,,,,,,,,,"8,00000",,,,,,,,,,,"1,18000","58,70000"
п.40014 от 25.02.25 до 25.02.26,,,"0,31300","0,30700","-0,06400",,"-0,01000",,,,,,,,,,"10,00000",,,,,,,,,,,"1,96000",
п.40015 от 25.02.25 до 25.02.26,,,"0,08900","0,01600","0,08500",,"-0,02200",,,,,,,,,,"7,00000",,,,,,,,,,,"2,00000",
п.40016 от 25.02.25 до 25.02.26,,,"2,29700","-0,87800","1,86500",,"1,01200",,,,,,,,,,"8,00000",,,,,,,,,,,"1,17000","65,10000"
п.40017 от 25.02.25 до 25.02.26,,,"2,21400","1,81900","-0,88500",,"0,90000",,,,,,,,,,"5,00000",,,,,,,,,,,"1,04000","50,45000"
п.40018 от 27.02.25 до 27.02.26,,,"0,74000","0,11900","-0,35200",,"0,64000",,,,,,,,,,"5,00000",,,,,,,,,,,"1,06000",
п.40019 от 26.02.25 до 26.02.26,,,"0,68400","0,13200","0,58400",,"0,33100",,,,,,,,,,"7,00000",,,,,,,,,,,"1,22000","70,45000"
п.40020 от 24.02.25 до 24.08.25,"2,40000","103,00000","0,38700","-0,06300","-0,06800",,"0,37600","28,00000","232,00000","6,00000",,"110,00000",Без дефектов,,,"1,27428",,"50,72500",Полиэфирный 1311Т34 ALBA,"39,19123","20,00000","42,58255","1,5","10,00000",F,"7,00000",,"1,08000","59,85000"
п.40021 от 24.02.25 до 24.08.25,"94,30000","136,00000",,,,,,"8,00000",,,,"20,00000",Без дефектов,,,,"10,00000",,,,"12,00000",,,,,,,"1,06000","52,50000"
п.40022 от 26.02.25 до 26.08.25,"42,00000","102,00000","0,16800","0,10700","0,02900",,"-0,12600","33,00000","232,00000","5,00000",,"120,00000",Без дефектов,,,"1,94081","27,00000","53,43500",РРМ 310,"33,90629","18,00000","47,72476","1,5","10,00000",H,"7,00000",,"1,39000","73,20000"
п.40025 от 27.02.25 до 27.08.25,"41,30000","94,00000","0,48900","0,25700","-0,35700",,"0,21300","33,00000","232,00000","6,00000",,"100,00000",Без дефектов,,,"1,52213","26,00000","45,76918",РРМ 310,"39,32777","18,00000","44,34172","1,5","10,00000",H,"7,00000",,"1,13540","61,78910"
п.40026 от 26.02.25 до 26.08.25,"24,00000","94,00000","0,26000","0,17000","-0,15000",,"0,14000","38,00000","249,00000","15,00000",,"110,00000",,,,,,,PPU 331,,"20,00000",,0,"12,00000",H,"7,00000",,"1,15000","59,20000"
п.40027 от 26.02.25 до 26.08.25,"39,70000","86,00000","0,19000","-0,08300","-0,11200","0,12500","-0,13000","30,00000","224,00000","6,16000",,"120,00000",Без дефектов,,,"1,54875","27,00000","42,08750",РРМ 310,,"17,77000","46,64636",1,"16,00000",F,"7,00000",,"1,13000","59,00000"
п.40028 от 21.02.25 до 21.08.25,,,,,,,,,,,,,,,,,"9,00000",,,,,,,,,,,,
п.40029 от 27.02.25 до 27.08.25,"26,20000","113,00000","0,34700","0,27500","0,08600",,"0,19300","38,00000","249,00000","26,00000",,"110,00000",Без дефектов,,,"1,39405",,"50,57841",PPU 331,"49,36499","25,00000","56,34815","1,5","10,00000",H,,,"1,14000","61,85000"
п.40031 от 25.02.25 до 25.08.25,"97,10000","79,00000",,,,,,"12,00000",,"10,00000",,"40,00000",Без дефектов,,"3,00000",,,,D'LAC WEF 3020,,"4,00000",,,,,,,"1,05000","48,40000"
п.40032 от 04.03.25 до 04.09.25,"88,80000","145,00000",,,,,,"12,00000",,,,"10,00000",Без дефектов,,"3,00000",,"7,00000",,,,"8,00000",,"1,5",,,,,"1,41000","63,30000"
п.40033 от 25.02.25 до 25.08.25,,"70,00000",,,,,,"12,00000",,,,"30,00000",Без дефектов,,,,,,,,"3,20000",,,,,,,"0,99000","33,90000"
п.40034 от 27.02.25 до 27.08.25,"90,00000","139,00000",,,,,,"10,00000",,,,"30,00000",Без дефектов,,,,"8,00000",,,,"6,00000",,2,,,"6,00000",,"1,20000","52,50000"
п.40035 от 27.02.25 до 27.02.26,,,"0,08500","-0,08000","0,01800",,"-0,02200",,,,,,,,,,"65,00000",,,,,,,,,,,"1,65000",
п.40036 от 25.02.25 до 25.08.25,"4,30000","98,00000","0,15200","-0,07300","-0,03100",,"0,12900","30,00000","232,00000","6,00000",,"110,00000",Без дефектов,,,"1,27668",,"50,41818",Полиэфирный 1311Т34 ALBA,"37,96204","19,00000","40,69960","1,5","10,00000",H,"7,00000",,"1,08000","59,60000"
п.40037 от 26.02.25 до 26.08.25,"20,20000","60,00000",,,,,,"33,00000","232,00000",,,"100,00000",,,,"2,03612","20,00000","45,84318",,"13,04251","6,00000","18,45422","3,5","3,00000",F,,,"1,41000","66,20000"
п.40038 от 25.02.25 до 25.08.25,"36,00000","82,00000","0,47900","-0,04600","-0,23000",,"-0,41800","33,00000","232,00000","6,00000",,"100,00000",Без дефектов,,,"1,67072",,"45,10000",Полиэфирный 1311Т34 ALBA,"39,91131","18,00000","47,43376","1,5","10,00000",F,"6,00000",,"1,20000","63,40000"
п.40039 от 25.02.25 до 25.08.25,"35,40000","92,00000","0,46900","-0,26400","-0,38700",,"-0,01800","32,00000","232,00000","6,00000",,"100,00000",Без дефектов,,,"1,97745",,"46,33750",Полиэфирный 1311Т34 ALBA,"38,70448","18,00000","52,19081","1,5","10,00000",F,"6,00000",,"1,35000","68,20000"
п.40040 от 26.02.25 до 26.08.25,"39,50000","98,50000","0,26300","0,25700","-0,03900",,"-0,03600","33,00000","232,00000","6,39000",,"120,00000",Без дефектов,,,"1,83500","31,00000","51,40750",РРМ 310,"34,27180","17,59000","45,75133","1,5","10,00000",H,"7,00000",,"1,32000","70,55000"
п.40041 от 24.02.25 до 24.08.25,,,,,,,,,,,,,,,,,"5,00000",,,,,,,,,,,,
п.40042 от 24.02.25 до 24.08.25,"34,50000","107,00000","0,40200","0,36800","-0,08000",,"0,14100","30,00000","232,00000","6,00000","1,00000","110,00000",Без дефектов,,,"1,65605","30,00000","44,51625",РРМ 310,"40,43467","18,00000","47,54215","1,5","10,00000",F,"7,00000",,"1,19000","62,70000"
п.40043 от 27.02.25 до 27.08.25,"33,40000","95,00000","0,02500","-0,02100","-0,00200",,"-0,01200","33,00000","232,00000","6,00000","1,00000","110,00000",Без дефектов,,,"1,67535","20,00000","43,02875",РРМ 310,"41,97761","18,00000","48,87575","1,5","10,00000",F,"7,00000",,"1,19000","61,70000"
п.40044 от 26.02.25 до 26.08.25,"22,40000","68,00000",,,,,,"27,00000","224,00000","5,00000",,"15,00000",Без дефектов,,,"1,54458","12,00000","42,13182",,"11,88611",,"13,76632",,,,,,"1,16000","56,10000"
п.40045 от 25.02.25 до 25.08.25,"3,60000","91,00000","0,16800","0,04300","-0,04100",,"-0,15700","33,00000","232,00000","6,00000",,"110,00000",Без дефектов,,,"1,30615",,"51,62500",Полиэфирный 1311Т34 ALBA,"35,55556","18,40000","39,20581","1,5","10,00000",H,"7,00000",,"1,10000","61,30000"
п.40046 от 25.02.25 до 25.08.25,"4,30000","96,00000","0,19700","0,17900","0,03500",,"-0,07500","30,00000","232,00000","6,00000",,"110,00000",Без дефектов,,,"1,24431",,"49,40909",Полиэфирный 1311Т34 ALBA,"38,26788","19,00000","40,76173","1,5","10,00000",F,"7,00000",,"1,06000","58,00000"
п.40047 от 28.02.25 до 28.08.25,"41,40000","109,00000","0,24600","0,19600","-0,09600",,"-0,11400","33,00000","232,00000","6,27000",,"120,00000",Без дефектов,,,"1,67360","25,00000","44,87500",РРМ 310,"40,17827","18,03000","47,70763","1,5","10,00000",H,"7,00000",,"1,20000","63,25000"
п.40048 от 26.02.25 до 26.08.25,,"71,00000","0,50500","0,13700","-0,41100",,"-0,25800",,"209,00000","5,87000",,,,,"2,00000","2,37991",,"23,33466",,"15,17057","3,54000","18,65980",,,,,,"1,23000","45,15000"
п.40049 от 25.02.25 до 25.08.25,,"81,00000","0,54100","-0,52500","-0,12700","0,32200","0,04500","32,00000","232,00000",,,"100,00000",Без дефектов,,,"1,93201","13,00000","45,60411",,"26,31342","12,00000","35,77993","1,5","10,00000",F,,,"1,35976","64,79645"
п.40050 от 28.02.25 до 28.08.25,,"80,00000","0,50100","-0,46200","-0,17800","0,40300","-0,08200","24,00000","232,00000",,,"100,00000",Без дефектов,,,"1,86517","10,00000","45,06520",,"26,62809","12,00000","35,25478","1,5","10,00000",F,,,"1,32397","63,48662"
п.40051 от 27.02.25 до 27.08.25,"99,34000","75,00000",,,,,,"12,00000",,"10,00000",,"40,00000",Без дефектов,,,,,,D'LAC WEF 3020,,"3,00000",,,,,,,"1,03000","42,65000"
п.40052 от 26.02.25 до 26.08.25,"99,40000","62,00000",,,,,,"12,00000",,"9,00000",,"40,00000",Без дефектов,,"3,00000",,,,D'LAC WEF 3020,,"3,00000",,,,,,,"1,02000","43,90000"
п.40053 от 26.02.25 до 26.08.25,"39,80000","92,00000","0,65400","0,56300","-0,16000",,"0,29000","33,00000","232,00000","6,00000",,"100,00000",Без дефектов,,,"2,03345",,"46,78375",Полиэфирный 1311Т34 ALBA,"38,47490","18,00000","52,93134","1,5","10,00000",F,"6,00000",,"1,38000","69,15000"
п.40054 от 28.02.25 до 28.02.27,,,"0,43500","-0,09400","-0,04200",,"-0,42200",,,,,,,,,,"12,00000",,,,,,,,,,,"1,17000",
п.40055 от 26.02.25 до 26.08.25,,"74,00000",,,,,,"29,00000","224,00000","5,00000",,"30,00000",Без дефектов,,,,"8,00000","41,84659",,"11,94840",,,,,,,,"1,15000","55,50000"
п.40056 от 25.02.25 до 25.08.25,"39,70000","85,00000","0,09000","0,06800","0,01800",,"-0,05700","31,00000","232,00000","6,00000",,"100,00000",Без дефектов,,,"1,58109","24,00000","43,54756",РРМ 310,"41,33412","18,00000","46,82893","1,5","10,00000",H,"7,00000",,"1,15132","60,77376"
п.40057 от 25.02.25 до 25.08.25,"36,86000","87,00000","0,33500","0,23300","-0,23500",,"-0,05100","33,00000","232,00000","6,00000","1,00000","100,00000",Без дефектов,,,"1,48289","27,00000","43,88118",РРМ 310,"41,01986","18,00000","44,83963","1,5","10,00000",H,"7,00000",,"1,10928","59,52775"
п.40058 от 25.02.25 до 25.08.25,"33,02000","83,00000","0,15800","0,12900","0,09000",,"0,01900","33,00000","232,00000","6,00000",,"100,00000",Без дефектов,,,"1,62125","27,00000","39,50919",РРМ 310,"45,55902","18,00000","50,47139","1,5","10,00000",H,"7,00000",,"1,14729","57,82004"
п.40059 от 26.02.25 до 26.08.25,"4,20000","99,00000","0,18400","-0,17000","0,02000",,"-0,06600","30,00000","232,00000","6,00000",,"120,00000",Соответствует,,,"1,25569",,"50,57330",РРМ 310,"37,56923","19,00000","40,19908","1,5","10,00000",H,"7,00000",,"1,07000","59,35000"
п.40060 от 26.02.25 до 26.02.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,06000",
п.40061 от 27.02.25 до 27.08.25,"40,30000","96,00000","0,30300","-0,14800","0,10000",,"0,24500","33,00000","232,00000","5,00000",,"120,00000",Без дефектов,,,"1,94617","26,66667","53,08750",РРМ 310,"33,90629","18,00000","47,98764","1,5","10,00000",H,"7,00000",,"1,39000","73,00000"
п.40062 от 27.02.25 до 27.08.25,"39,20000","84,00000","0,44300","0,11400","-0,32100","0,34700","0,28300","30,00000","232,00000","5,00000",,"110,00000",Без дефектов,,,"1,57471","29,00000","45,84250",РРМ 310,"34,95740","16,00000","40,21596","1,5","10,00000",H,"7,00000",,"1,16000","62,65000"
п.40063 от 04.03.25 до 04.09.25,"34,70000","92,00000","0,48400","-0,44000","-0,14800",,"-0,13800","31,00000","232,00000","6,00000",,"110,00000",Без дефектов,,,"1,52039","30,00000",,PPE 100,,"19,00000","44,61371","1,5","10,00000",H,"6,00000",,"1,21000","64,75000"
п.40064 от 28.02.25 до 28.08.25,"39,20000","91,00000","0,23600","0,05400","0,21100","0,38100","0,08900","28,00000","224,00000","6,00000",,"120,00000",Без дефектов,,,"1,88047","25,00000","44,36875",РРМ 310,"38,73761","17,00000","48,80616",1,"16,00000",F,"7,00000",,"1,29000","65,50000"
п.40065 от 26.02.25 до 26.08.25,,"71,00000",,,,,,"12,00000",,,,"30,00000",Без дефектов,,,,,,,,"4,00000",,,,,,,"0,99000","34,40000"
п.40066 от 28.02.25 до 28.02.26,,,,,,,,,,,,,,,,,"70,00000",,,,,,,,,,,"1,85000",
